customer_id,customer_name,email,gender,age,city,state
1,Customer_0001,customer0001@example.com,Male,35,Bengaluru,Karnataka
2,Customer_0002,customer0002@example.com,Male,26,Mumbai,Maharashtra
3,Customer_0003,customer0003@example.com,Male,55,Bengaluru,Karnataka
4,Customer_0004,customer0004@example.com,Male,19,Kolkata,West Bengal
5,Customer_0005,customer0005@example.com,Male,32,Bengaluru,Karnataka
6,Customer_0006,customer0006@example.com,Male,53,Kochi,Kerala
7,Customer_0007,customer0007@example.com,Female,32,Mumbai,Maharashtra
8,Customer_0008,customer0008@example.com,Female,18,Coimbatore,Tamil Nadu
9,Customer_0009,customer0009@example.com,Female,39,Hyderabad,Telangana
10,Customer_0010,customer0010@example.com,Male,31,Delhi,Delhi
11,Customer_0011,customer0011@example.com,Male,23,Pune,Maharashtra
12,Customer_0012,customer0012@example.com,Male,40,Kolkata,West Bengal
13,Customer_0013,customer0013@example.com,Female,20,Pune,Maharashtra
14,Customer_0014,customer0014@example.com,Male,42,Coimbatore,Tamil Nadu
15,Customer_0015,customer0015@example.com,Female,58,Bengaluru,Karnataka
16,Customer_0016,customer0016@example.com,Female,54,Ahmedabad,Gujarat
17,Customer_0017,customer0017@example.com,Male,20,Mumbai,Maharashtra
18,Customer_0018,customer0018@example.com,Female,23,Mumbai,Maharashtra
19,Customer_0019,customer0019@example.com,Male,42,Mumbai,Maharashtra
20,Customer_0020,customer0020@example.com,Female,58,Delhi,Delhi
21,Customer_0021,customer0021@example.com,Male,41,Pune,Maharashtra
22,Customer_0022,customer0022@example.com,Male,60,Pune,Maharashtra
23,Customer_0023,customer0023@example.com,Male,56,Delhi,Delhi
24,Customer_0024,customer0024@example.com,Male,28,Hyderabad,Telangana
25,Customer_0025,customer0025@example.com,Female,35,Coimbatore,Tamil Nadu
26,Customer_0026,customer0026@example.com,Male,38,Kochi,Kerala
27,Customer_0027,customer0027@example.com,Male,20,Chennai,Tamil Nadu
28,Customer_0028,customer0028@example.com,Female,35,Pune,Maharashtra
29,Customer_0029,customer0029@example.com,Male,54,Bengaluru,Karnataka
30,Customer_0030,customer0030@example.com,Male,59,Pune,Maharashtra
31,Customer_0031,customer0031@example.com,Female,59,Coimbatore,Tamil Nadu
32,Customer_0032,customer0032@example.com,Male,34,Coimbatore,Tamil Nadu
33,Customer_0033,customer0033@example.com,Male,53,Hyderabad,Telangana
34,Customer_0034,customer0034@example.com,Female,55,Kochi,Kerala
35,Customer_0035,customer0035@example.com,Female,41,Kolkata,West Bengal
36,Customer_0036,customer0036@example.com,Male,50,Mumbai,Maharashtra
37,Customer_0037,customer0037@example.com,Male,21,Coimbatore,Tamil Nadu
38,Customer_0038,customer0038@example.com,Male,58,Bengaluru,Karnataka
39,Customer_0039,customer0039@example.com,Female,56,Hyderabad,Telangana
40,Customer_0040,customer0040@example.com,Female,42,Bengaluru,Karnataka
41,Customer_0041,customer0041@example.com,Female,51,Ahmedabad,Gujarat
42,Customer_0042,customer0042@example.com,Male,25,Delhi,Delhi
43,Customer_0043,customer0043@example.com,Female,59,Kochi,Kerala
44,Customer_0044,customer0044@example.com,Male,36,Pune,Maharashtra
45,Customer_0045,customer0045@example.com,Male,47,Kolkata,West Bengal
46,Customer_0046,customer0046@example.com,Female,50,Chennai,Tamil Nadu
47,Customer_0047,customer0047@example.com,Male,58,Hyderabad,Telangana
48,Customer_0048,customer0048@example.com,Male,27,Delhi,Delhi
49,Customer_0049,customer0049@example.com,Male,52,Pune,Maharashtra
50,Customer_0050,customer0050@example.com,Male,56,Kochi,Kerala
51,Customer_0051,customer0051@example.com,Female,19,Pune,Maharashtra
52,Customer_0052,customer0052@example.com,Female,37,Bengaluru,Karnataka
53,Customer_0053,customer0053@example.com,Male,33,Mumbai,Maharashtra
54,Customer_0054,customer0054@example.com,Male,23,Ahmedabad,Gujarat
55,Customer_0055,customer0055@example.com,Male,52,Coimbatore,Tamil Nadu
56,Customer_0056,customer0056@example.com,Male,60,Hyderabad,Telangana
57,Customer_0057,customer0057@example.com,Male,34,Coimbatore,Tamil Nadu
58,Customer_0058,customer0058@example.com,Female,31,Kochi,Kerala
59,Customer_0059,customer0059@example.com,Male,37,Kochi,Kerala
60,Customer_0060,customer0060@example.com,Female,46,Kolkata,West Bengal
61,Customer_0061,customer0061@example.com,Female,25,Kochi,Kerala
62,Customer_0062,customer0062@example.com,Male,22,Mumbai,Maharashtra
63,Customer_0063,customer0063@example.com,Male,55,Pune,Maharashtra
64,Customer_0064,customer0064@example.com,Male,55,Kochi,Kerala
65,Customer_0065,customer0065@example.com,Male,22,Mumbai,Maharashtra
66,Customer_0066,customer0066@example.com,Male,22,Chennai,Tamil Nadu
67,Customer_0067,customer0067@example.com,Female,22,Chennai,Tamil Nadu
68,Customer_0068,customer0068@example.com,Male,35,Kochi,Kerala
69,Customer_0069,customer0069@example.com,Male,52,Coimbatore,Tamil Nadu
70,Customer_0070,customer0070@example.com,Female,33,Hyderabad,Telangana
71,Customer_0071,customer0071@example.com,Female,30,Coimbatore,Tamil Nadu
72,Customer_0072,customer0072@example.com,Male,60,Bengaluru,Karnataka
73,Customer_0073,customer0073@example.com,Female,45,Kolkata,West Bengal
74,Customer_0074,customer0074@example.com,Female,21,Kolkata,West Bengal
75,Customer_0075,customer0075@example.com,Male,43,Bengaluru,Karnataka
76,Customer_0076,customer0076@example.com,Male,33,Pune,Maharashtra
77,Customer_0077,customer0077@example.com,Male,52,Mumbai,Maharashtra
78,Customer_0078,customer0078@example.com,Male,45,Coimbatore,Tamil Nadu
79,Customer_0079,customer0079@example.com,Female,47,Hyderabad,Telangana
80,Customer_0080,customer0080@example.com,Male,46,Mumbai,Maharashtra
81,Customer_0081,customer0081@example.com,Male,21,Kochi,Kerala
82,Customer_0082,customer0082@example.com,Male,23,Kochi,Kerala
83,Customer_0083,customer0083@example.com,Male,44,Mumbai,Maharashtra
84,Customer_0084,customer0084@example.com,Female,31,Coimbatore,Tamil Nadu
85,Customer_0085,customer0085@example.com,Male,28,Kolkata,West Bengal
86,Customer_0086,customer0086@example.com,Male,42,Kolkata,West Bengal
87,Customer_0087,customer0087@example.com,Female,36,Delhi,Delhi
88,Customer_0088,customer0088@example.com,Female,27,Kolkata,West Bengal
89,Customer_0089,customer0089@example.com,Female,31,Mumbai,Maharashtra
90,Customer_0090,customer0090@example.com,Male,38,Chennai,Tamil Nadu
91,Customer_0091,customer0091@example.com,Male,55,Chennai,Tamil Nadu
92,Customer_0092,customer0092@example.com,Male,21,Coimbatore,Tamil Nadu
93,Customer_0093,customer0093@example.com,Male,29,Kochi,Kerala
94,Customer_0094,customer0094@example.com,Male,33,Bengaluru,Karnataka
95,Customer_0095,customer0095@example.com,Male,54,Kolkata,West Bengal
96,Customer_0096,customer0096@example.com,Male,57,Mumbai,Maharashtra
97,Customer_0097,customer0097@example.com,Female,60,Bengaluru,Karnataka
98,Customer_0098,customer0098@example.com,Female,34,Ahmedabad,Gujarat
99,Customer_0099,customer0099@example.com,Female,33,Mumbai,Maharashtra
100,Customer_0100,customer0100@example.com,Female,26,Delhi,Delhi
101,Customer_0101,customer0101@example.com,Female,38,Delhi,Delhi
102,Customer_0102,customer0102@example.com,Male,47,Bengaluru,Karnataka
103,Customer_0103,customer0103@example.com,Male,22,Ahmedabad,Gujarat
104,Customer_0104,customer0104@example.com,Male,50,Kochi,Kerala
105,Customer_0105,customer0105@example.com,Male,40,Delhi,Delhi
106,Customer_0106,customer0106@example.com,Male,41,Bengaluru,Karnataka
107,Customer_0107,customer0107@example.com,Male,46,Delhi,Delhi
108,Customer_0108,customer0108@example.com,Female,57,Kochi,Kerala
109,Customer_0109,customer0109@example.com,Male,60,Kochi,Kerala
110,Customer_0110,customer0110@example.com,Female,60,Kochi,Kerala
111,Customer_0111,customer0111@example.com,Male,34,Bengaluru,Karnataka
112,Customer_0112,customer0112@example.com,Male,53,Bengaluru,Karnataka
113,Customer_0113,customer0113@example.com,Female,36,Hyderabad,Telangana
114,Customer_0114,customer0114@example.com,Male,39,Ahmedabad,Gujarat
115,Customer_0115,customer0115@example.com,Female,50,Mumbai,Maharashtra
116,Customer_0116,customer0116@example.com,Female,21,Coimbatore,Tamil Nadu
117,Customer_0117,customer0117@example.com,Female,35,Bengaluru,Karnataka
118,Customer_0118,customer0118@example.com,Male,39,Chennai,Tamil Nadu
119,Customer_0119,customer0119@example.com,Female,28,Hyderabad,Telangana
120,Customer_0120,customer0120@example.com,Female,53,Coimbatore,Tamil Nadu
121,Customer_0121,customer0121@example.com,Male,22,Chennai,Tamil Nadu
122,Customer_0122,customer0122@example.com,Male,41,Hyderabad,Telangana
123,Customer_0123,customer0123@example.com,Male,45,Ahmedabad,Gujarat
124,Customer_0124,customer0124@example.com,Male,37,Hyderabad,Telangana
125,Customer_0125,customer0125@example.com,Male,40,Pune,Maharashtra
126,Customer_0126,customer0126@example.com,Male,60,Mumbai,Maharashtra
127,Customer_0127,customer0127@example.com,Female,53,Bengaluru,Karnataka
128,Customer_0128,customer0128@example.com,Male,33,Kolkata,West Bengal
129,Customer_0129,customer0129@example.com,Male,44,Hyderabad,Telangana
130,Customer_0130,customer0130@example.com,Male,39,Chennai,Tamil Nadu
131,Customer_0131,customer0131@example.com,Male,35,Kolkata,West Bengal
132,Customer_0132,customer0132@example.com,Male,42,Hyderabad,Telangana
133,Customer_0133,customer0133@example.com,Female,32,Chennai,Tamil Nadu
134,Customer_0134,customer0134@example.com,Female,40,Mumbai,Maharashtra
135,Customer_0135,customer0135@example.com,Male,32,Delhi,Delhi
136,Customer_0136,customer0136@example.com,Male,43,Chennai,Tamil Nadu
137,Customer_0137,customer0137@example.com,Female,22,Pune,Maharashtra
138,Customer_0138,customer0138@example.com,Female,59,Delhi,Delhi
139,Customer_0139,customer0139@example.com,Female,52,Kochi,Kerala
140,Customer_0140,customer0140@example.com,Male,25,Pune,Maharashtra
141,Customer_0141,customer0141@example.com,Male,55,Delhi,Delhi
142,Customer_0142,customer0142@example.com,Male,24,Delhi,Delhi
143,Customer_0143,customer0143@example.com,Female,40,Ahmedabad,Gujarat
144,Customer_0144,customer0144@example.com,Female,56,Pune,Maharashtra
145,Customer_0145,customer0145@example.com,Male,42,Kochi,Kerala
146,Customer_0146,customer0146@example.com,Male,34,Ahmedabad,Gujarat
147,Customer_0147,customer0147@example.com,Female,18,Chennai,Tamil Nadu
148,Customer_0148,customer0148@example.com,Male,41,Kochi,Kerala
149,Customer_0149,customer0149@example.com,Male,60,Kolkata,West Bengal
150,Customer_0150,customer0150@example.com,Female,60,Pune,Maharashtra
151,Customer_0151,customer0151@example.com,Female,50,Bengaluru,Karnataka
152,Customer_0152,customer0152@example.com,Female,38,Delhi,Delhi
153,Customer_0153,customer0153@example.com,Female,53,Kolkata,West Bengal
154,Customer_0154,customer0154@example.com,Male,44,Hyderabad,Telangana
155,Customer_0155,customer0155@example.com,Male,57,Kolkata,West Bengal
156,Customer_0156,customer0156@example.com,Female,43,Ahmedabad,Gujarat
157,Customer_0157,customer0157@example.com,Male,37,Kochi,Kerala
158,Customer_0158,customer0158@example.com,Male,45,Delhi,Delhi
159,Customer_0159,customer0159@example.com,Female,47,Ahmedabad,Gujarat
160,Customer_0160,customer0160@example.com,Female,31,Coimbatore,Tamil Nadu
161,Customer_0161,customer0161@example.com,Female,28,Kochi,Kerala
162,Customer_0162,customer0162@example.com,Female,50,Bengaluru,Karnataka
163,Customer_0163,customer0163@example.com,Female,23,Ahmedabad,Gujarat
164,Customer_0164,customer0164@example.com,Female,32,Mumbai,Maharashtra
165,Customer_0165,customer0165@example.com,Male,19,Mumbai,Maharashtra
166,Customer_0166,customer0166@example.com,Male,48,Chennai,Tamil Nadu
